x,y,count
1114.55037,525.1433564,0
1142.658901,555.2596402,0
1082.426334,709.8565633,0
1054.317802,762.0581218,0
998.1007391,884.531009,0
971.9999599,824.2984415,0
969.9922076,780.127892,0
982.0387211,701.8255543,0
986.0542256,647.6162436,0
986.0542256,565.2984014,0
986.0542256,503.0580817,0
976.0154644,466.9185412,0
974.0077121,460.8952844,0
1030.224775,464.9107889,0
1070.37982,476.9573024,0
1140.651149,480.9728069,0
1158.720919,486.9960637,0
1148.682158,601.4379419,0
1116.558122,669.7015183,0
1162.736424,599.4301896,0
1182.813946,557.2673924,0
1186.829451,539.1976222,0
1050.302298,601.4379419,0
1060.341059,699.8178021,0
1022.193766,802.2131668,0
1020.186014,844.375964,0
1026.209271,886.5387612,0
1044.279041,934.7248152,0
1098.488352,892.562018,0
1130.612388,876.5,0
1190.844955,872.4844955,0
1122.581379,846.3837163,0
1082.426334,798.1976623,0
1050.302298,858.4302298,0
1048.294545,904.6085315,0
994.0852346,920.6705495,0
949.9146851,928.7015585,0
929.8371626,942.7558242,0
951.9224374,888.5465135,0
957.9456941,876.5,0
1172.775185,1191.717103,0
1218.953487,1213.802378,0
1247.062018,1215.81013,0
1359.496144,1231.872148,0
1413.705455,1237.895405,0
1455.868252,1229.864396,0
1522.124076,1203.763617,0
1301.271329,1255.965175,0
1261.116284,1251.949671,0
1247.062018,1300.135725,0
1174.782937,1292.104716,0
1102.503856,1306.158981,0
1054.317802,1282.065954,0
1034.24028,1304.151229,0
1054.317802,1253.957423,0
1098.488352,1235.887653,0
1128.604635,1189.709351,0
1558.263617,567.3061536,0
1564.286873,627.5387211,0
1546.217103,681.7480318,0
1548.224855,737.9650948,0
1546.217103,784.1433965,0
1546.217103,820.282937,0
1538.186094,852.406973,0
1534.17059,894.5697702,0
1534.17059,932.717063,0
1536.178342,964.841099,0
1536.178342,980.903117,0
1568.302378,428.7712485,0
1564.286873,404.6782215,0
1536.178342,392.631708,0
1502.046554,384.600699,0
1445.829491,384.600699,0
1385.596923,386.6084512,0
1321.348851,388.6162035,0
1263.124036,386.6084512,0
1188.837203,382.5929467,0
1134.627892,380.5851945,0
1088.44959,382.5929467,0
1048.294545,388.6162035,0
1024.201518,386.6084512,0
967.9844554,384.600699,0
953.9301896,440.817762,0
957.9456941,499.0425772,0
1084.434086,545.2208789,0
1114.55037,579.3526671,0
1082.426334,519.1200997,0
1200.883716,535.1821177,0
1218.953487,476.9573024,0
1118.565874,430.7790007,0
1082.426334,521.1278519,0
1052.31005,581.3604194,0
1020.186014,605.4534464,0
1016.170509,663.6782616,0
992.0774824,768.0813786,0
