Asset Details,,,,,Heat Map Detail,,,Asset Property Values,,
Unique Identifier,Name,Location,Section,Monitor Class,X,Y,Symbol,Pump Volume,Well depth (mBTOC),Pump Install Depth (mBTOC)
SNGWS015,Gas well,Suntown,Well Station S,Gas Extraction,536561.892,6909384.6,S015,,,
SNGWS016,Gas well,Suntown,Well Station S,Gas Extraction,536589.893,6909412.48,S016,,,
SNGWS018,Gas well,Suntown,Well Station S,Gas Extraction,,,S018,,,
SNS3D043,Gas well,Suntown,Well Station D,Gas Extraction,536574.086,6909145.18,D043,,,
SNSULE04,Gas well,Suntown,Well Station S,Gas Extraction,536450.55,6909440.1,LE04,,,
SNSULE06,Gas well,Suntown,Well Station K,Gas Extraction,536692.395,6909694.57,LE06,,,
SPCVA001,Manifold,Staplyton,Well Station A,Gas Collection System,,,A001,,,
SPCVA002,Manifold,Staplyton,Well Station A,Gas Collection System,,,A002,,,
SPCVB001,Manifold,Staplyton,Well Station B,Gas Collection System,,,B001,,,
SPCVB002,Manifold,Staplyton,Well Station B,Gas Collection System,,,B002,,,
SPCVC001,Manifold,Staplyton,Well Station C,Gas Collection System,,,C001,,,
SPCVC002,Manifold,Staplyton,Well Station C,Gas Collection System,,,C002,,,
SPCVD001,Manifold,Staplyton,Well Station D,Gas Collection System,,,D001,,,
SPCVE001,Manifold,Staplyton,Well Station E,Gas Collection System,,,E001,,,
SPCVE002,Manifold,Staplyton,Well Station E,Gas Collection System,,,E002,,,
SPCVF001,Manifold,Staplyton,Well Station F,Gas Collection System,,,F001,,,
SPCVG001,Manifold,Staplyton,Well Station G,Gas Collection System,,,G001,,,
SPCVG002,Manifold,Staplyton,Well Station G,Gas Collection System,,,G002,,,
SPCVH001,Manifold,Staplyton,Well Station H,Gas Collection System,,,H001,,,
SPCVJ001,Manifold,Staplyton,Well Station J,Gas Collection System,,,J001,,,
SPCVJ002,Manifold,Staplyton,Well Station J,Gas Collection System,,,J002,,,
SPCVJ003,Manifold,Staplyton,Well Station J,Gas Collection System,,,J003,,,
SPCVK001,Manifold,Staplyton,Well Station K,Gas Collection System,,,K001,,,
SPCVK002,Manifold,Staplyton,Well Station K,Gas Collection System,,,K002,,,
SPCVL001,Manifold,Staplyton,Well Station L,Gas Collection System,,,L001,,,
SPCVL002,Manifold,Staplyton,Well Station L,Gas Collection System,,,L002,,,
SPCVL003,Manifold,Staplyton,Well Station L,Gas Collection System,,,L003,,,
SPCVM001,Manifold,Staplyton,Well Station M,Gas Collection System,,,M001,,,
SPCVM002,Manifold,Staplyton,Well Station M,Gas Collection System,,,M002,,,
SPCVN001,Manifold,Staplyton,Well Station N,Gas Collection System,,,N001,,,
SPGWA001,Gas well,Staplyton,Well Station A,Gas Extraction,,,A001,,,
SPGWA002,Gas well,Staplyton,Well Station A,Gas Extraction,,,A002,,,
SPGWA003,Gas well,Staplyton,Well Station A,Gas Extraction,,,A003,,,
SPGWA004,Gas well,Staplyton,Well Station A,Gas Extraction,,,A004,,,
SPGWA005,Gas well,Staplyton,Well Station A,Gas Extraction,,,A005,,,
SPGWA007,Gas well,Staplyton,Well Station A,Gas Extraction,,,A007,,,
SPGWA008,Gas well,Staplyton,Well Station A,Gas Extraction,,,A008,,,
SPGWB009,Gas well,Staplyton,Well Station B,Gas Extraction,,,B009,,,
SPGWB010,Gas well,Staplyton,Well Station B,Gas Extraction,,,B010,,,
SPGWB011,Gas well,Staplyton,Well Station B,Gas Extraction,,,B011,,,
SPGWB012,Gas well,Staplyton,Well Station B,Gas Extraction,,,B012,,,
SPGWB013,Gas well,Staplyton,Well Station B,Gas Extraction,,,B013,,,
SPGWB035,Gas well,Staplyton,Well Station B,Gas Extraction,,,B035,,,
SPGWB036,Gas well,Staplyton,Well Station B,Gas Extraction,,,B036,,,
SPGWB037,Gas well,Staplyton,Well Station B,Gas Extraction,,,B037,,,
SPGWC014,Gas well,Staplyton,Well Station C,Gas Extraction,,,C014,,,
SPGWC015,Gas well,Staplyton,Well Station C,Gas Extraction,,,C015,,,
SPGWC016,Gas well,Staplyton,Well Station C,Gas Extraction,,,C016,,,
SPGWC017,Gas well,Staplyton,Well Station C,Gas Extraction,,,C017,,,
SPGWC018,Gas well,Staplyton,Well Station C,Gas Extraction,,,C018,,,
SPGWC038,Gas well,Staplyton,Well Station C,Gas Extraction,,,C038,,,
SPGWC039,Gas well,Staplyton,Well Station C,Gas Extraction,,,C039,,,
SPGWD021,Gas well,Staplyton,Well Station D,Gas Extraction,,,D021,,,
SPGWD022,Gas well,Staplyton,Well Station D,Gas Extraction,,,D022,,,
SPGWD023,Gas well,Staplyton,Well Station D,Gas Extraction,,,D023,,,
SPGWD024,Gas well,Staplyton,Well Station D,Gas Extraction,,,D024,,,
SPGWE002,Gas well,Staplyton,Well Station E,Gas Extraction,,,E002,,,
SPGWE003,Gas well,Staplyton,Well Station E,Gas Extraction,,,E003,,,
SPGWE011,Gas well,Staplyton,Well Station E,Gas Extraction,,,E011,,,
SPGWE012,Gas well,Staplyton,Well Station E,Gas Extraction,,,E012,,,
SPGWE013,Gas well,Staplyton,Well Station A,Gas Extraction,,,E013,,,
SPGWE016,Gas well,Staplyton,Well Station E,Gas Extraction,,,E016,,,
SPGWE018,Gas well,Staplyton,Well Station E,Gas Extraction,,,E018,,,
SPGWE019,Gas well,Staplyton,Well Station E,Gas Extraction,,,E019,,,
SPGWE024,Gas well,Staplyton,Well Station A,Gas Extraction,,,E024,,,
SPGWE029,Gas well,Staplyton,Well Station E,Gas Extraction,,,E029,,,
SPGWF001,Gas well,Staplyton,Well Station F,Gas Extraction,,,F001,,,
SPGWF002,Gas well,Staplyton,Well Station F,Gas Extraction,,,F002,,,
SPGWF003,Gas well,Staplyton,Well Station F,Gas Extraction,,,F003,,,
SPGWF004,Gas well,Staplyton,Well Station F,Gas Extraction,,,F004,,,
SPGWF010,Gas well,Staplyton,Well Station F,Gas Extraction,,,F010,,,
SPGWG005,Gas well,Staplyton,Well Station G,Gas Extraction,,,G005,,,
SPGWG006,Gas well,Staplyton,Well Station G,Gas Extraction,,,G006,,,
SPGWG007,Gas well,Staplyton,Well Station G,Gas Extraction,,,G007,,,
SPGWG008,Gas well,Staplyton,Well Station G,Gas Extraction,,,G008,,,
SPGWG100,Gas well,Staplyton,Well Station G,Gas Extraction,,,G100,,,
SPGWG102,Gas well,Staplyton,Well Station G,Gas Extraction,,,G102,,,
SPGWG103,Gas well,Staplyton,Well Station G,Gas Extraction,,,G103,,,
SPGWG106,Gas well,Staplyton,Well Station G,Gas Extraction,,,G106,,,
SPGWG107,Gas well,Staplyton,Well Station G,Gas Extraction,,,G107,,,
SPGWH009,Gas well,Staplyton,Well Station H,Gas Extraction,,,H009,,,
SPGWH017,Gas well,Staplyton,Well Station H,Gas Extraction,,,H017,,,
SPGWH041,Gas well,Staplyton,Well Station H,Gas Extraction,,,H041,,,
SPGWH042,Gas well,Staplyton,Well Station H,Gas Extraction,,,H042,,,
SPGWJ027,Gas well,Staplyton,Well Station J,Gas Extraction,,,J027,,,
SPGWJ028,Gas well,Staplyton,Well Station J,Gas Extraction,,,J028,,,
SPGWJ029,Gas well,Staplyton,Well Station J,Gas Extraction,,,J029,,,
SPGWJ030,Gas well,Staplyton,Well Station J,Gas Extraction,,,J030,,,
SPGWJ031,Gas well,Staplyton,Well Station J,Gas Extraction,,,J031,,,
SPGWJ036,Gas well,Staplyton,Well Station J,Gas Extraction,,,J036,,,
SPGWJ037,Gas well,Staplyton,Well Station J,Gas Extraction,,,J037,,,
SPGWJ038,Gas well,Staplyton,Well Station J,Gas Extraction,,,J038,,,
SPGWJ039,Gas well,Staplyton,Well Station J,Gas Extraction,,,J039,,,
SPGWJ045,Gas well,Staplyton,Well Station J,Gas Extraction,,,J045,,,
SPGWK032,Gas well,Staplyton,Well Station K,Gas Extraction,,,K032,,,
SPGWK033,Gas well,Staplyton,Well Station K,Gas Extraction,,,K033,,,
SPGWK034,Gas well,Staplyton,Well Station K,Gas Extraction,,,K034,,,
SPGWK035,Gas well,Staplyton,Well Station K,Gas Extraction,,,K035,,,
SPGWK044,Gas well,Staplyton,Well Station K,Gas Extraction,,,K044,,,
SPGWK045,Gas well,Staplyton,Well Station K,Gas Extraction,,,K045,,,
SPGWK046,Gas well,Staplyton,Well Station K,Gas Extraction,,,K046,,,
SPGWK047,Gas well,Staplyton,Well Station K,Gas Extraction,,,K047,,,
SPGWL101,Gas well,Staplyton,Well Station L,Gas Extraction,,,L101,,,
SPGWL104,Gas well,Staplyton,Well Station L,Gas Extraction,,,L104,,,
SPGWL105,Gas well,Staplyton,Well Station L,Gas Extraction,,,L105,,,
SPGWL108,Gas well,Staplyton,Well Station L,Gas Extraction,,,L108,,,
SPGWL109,Gas well,Staplyton,Well Station L,Gas Extraction,,,L109,,,
SPGWL112,Gas well,Staplyton,Well Station L,Gas Extraction,,,L112,,,
SPGWL113,Gas well,Staplyton,Well Station L,Gas Extraction,,,L113,,,
SPGWL114,Gas well,Staplyton,Well Station L,Gas Extraction,,,L114,,,
SPGWL117,Gas well,Staplyton,Well Station L,Gas Extraction,,,L117,,,
SPGWL118,Gas well,Staplyton,Well Station L,Gas Extraction,,,L118,,,
SPGWL119,Gas well,Staplyton,Well Station L,Gas Extraction,,,L119,,,
SPGWM110,Gas well,Staplyton,Well Station M,Gas Extraction,,,M110,,,
SPGWM111,Gas well,Staplyton,Well Station M,Gas Extraction,,,M111,,,
SPGWM115,Gas well,Staplyton,Well Station M,Gas Extraction,,,M115,,,
SPGWM116,Gas well,Staplyton,Well Station M,Gas Extraction,,,M116,,,
SPGWM120,Gas well,Staplyton,Well Station M,Gas Extraction,,,M120,,,
SPGWM121,Gas well,Staplyton,Well Station M,Gas Extraction,,,M121,,,
SPGWM122,Gas well,Staplyton,Well Station M,Gas Extraction,,,M122,,,
SPGWN123,Gas well,Staplyton,Well Station N,Gas Extraction,,,N123,,,
SPGWN124,Gas well,Staplyton,Well Station N,Gas Extraction,,,N124,,,
SPGWN125,Gas well,Staplyton,Well Station N,Gas Extraction,,,N125,,,
SPGWN126,Gas well,Staplyton,Well Station N,Gas Extraction,,,N126,,,
SPGWN127,Gas well,Staplyton,Well Station N,Gas Extraction,,,N127,,,
SPLWA034,Gas well,Staplyton,Well Station A,Gas Extraction,,,A034,,,
J001,Gas well,Suntown,GCS,,536491.274,6909481.53,J001,,,
J002,Gas well,Suntown,Sump 3,Liquid Volume,536529.068,6909474.41,J002,6.76,,
J003,Gas well,Suntown,Sump 4,Liquid Volume,536396.216,6909483.64,J003,6.74,,
J004,Gas well,Suntown,GCS,,536434.023,6909470.38,J004,,,
J005,Gas well,Suntown,Sump 4,Liquid Volume,536471.446,6909456.03,J005,6.75,,
J006,Gas well,Suntown,GCS,,536508.813,6909441.59,J006,,,
J007,Gas well,Suntown,GCS,,536549.174,6909426.03,J007,,,
J008,Gas well,Suntown,Sump 4,Liquid Volume,536366.031,6909458.81,J008,6.75,,
J009,Gas well,Suntown,GCS,,536403.218,6909443.44,J009,,,
J010,Gas well,Suntown,Sump 4,Liquid Volume,536440.06,6909429.27,J010,6.75,,
J011,Gas well,Suntown,GCS,,536477.709,6909415.03,J011,,,
J012,Gas well,Suntown,Sump 3,Liquid Volume,536514.42,6909402.03,J012,6.75,,
J013,Gas well,Suntown,Sump 4,Liquid Volume,536371.368,6909419.3,J013,6.75,,
J014,Gas well,Suntown,Sump 4,Liquid Volume,536408.208,6909404,J014,6.75,,
J015,Gas well,Suntown,GCS,,536446.337,6909390.56,J015,,,
J016,Gas well,Suntown,GCS,,536483.439,6909377.69,J016,,,
J017,Gas well,Suntown,GCS,,536519.054,6909365.28,J017,,,
J018,Gas well,Suntown,GCS,,536378.848,6909379.15,J018,,,
J019,Gas well,Suntown,GCS,,536416.471,6909365.8,J019,,,
J020,Gas well,Suntown,Sump 3,Liquid Volume,536454.206,6909350.37,J020,6.76,,
J021,Gas well,Suntown,GCS,,536486.935,6909339.74,J021,,,
J022,Gas well,Suntown,Sump 4,Liquid Volume,536384.298,6909339.98,J022,6.75,,
J023,Gas well,Suntown,GCS,,536417.041,6909328.25,J023,,,
J024,Gas well,Suntown,Sump 3,Liquid Volume,536460.035,6909311.63,J024,6.75,,
J025,Gas well,Suntown,Sump 3,Liquid Volume,536495.139,6909298.65,J025,6.75,,
J026,Gas well,Suntown,Sump 4,Liquid Volume,536386.266,6909302.28,J026,6.75,,
J027,Gas well,Suntown,GCS,,536427.996,6909285.6,J027,,,
J028,Gas well,Suntown,Sump 3,Liquid Volume,536459.015,6909273.57,J028,6.75,,
J029,Gas well,Suntown,Sump 4,Liquid Volume,536395.204,6909262.83,J029,6.75,,
J030,Gas well,Suntown,GCS,,536435.092,6909246.84,J030,,,
J031,Gas well,Suntown,GCS,,536472.13,6909231.77,J031,,,
J032,Gas well,Suntown,Sump 3,Liquid Volume,536403.937,6909219.94,J032,6.76,,
J033,Gas well,Suntown,GCS,,536441.653,6909206.52,J033,,,
K001,Gas well,Suntown,GCS,,536385.263,6909529.43,K001,,,
K002,Gas well,Suntown,GCS,,536416.214,6909510.02,K002,,,
K003,Gas well,Suntown,GCS,,536453.79,6909495.95,K003,,,
K004,Gas well,Suntown,GCS,,536438.037,6909548.73,K004,,,
K005,Gas well,Suntown,GCS,,536483.967,6909529.31,K005,,,
K006,Gas well,Suntown,GCS,,536521.84,6909514.56,K006,,,
K007,Gas well,Suntown,GCS,,536571.766,6909502.26,K007,,,
K011,Gas well,Suntown,GCS,,536604.966,6909523.56,K011,,,
K014,Gas well,Suntown,GCS,,536616.969,6909569.88,K014,,,
K017,Gas well,Suntown,GCS,,536629.802,6909615.54,K017,,,
K019,Gas well,Suntown,GCS,,536636.895,6909657.57,K019,,,
R001,Gas well,Suntown,GCS,,536227.063,6909098.95,R001,,,
R002,Gas well,Suntown,Sump 3,Liquid Volume,536234.792,6909136.19,R002,6.75,,
R003,Gas well,Suntown,Sump 3,Liquid Volume,536246.156,6909171.7,R003,6.75,,
R004,Gas well,Suntown,Sump 3,Liquid Volume,536278.151,6909151.89,R004,6.75,,
R005,Gas well,Suntown,GCS,,536256.369,6909207.45,R005,,,
R006,Gas well,Suntown,Sump 3,Liquid Volume,536283.125,6909192.03,R006,6.75,,
R007,Gas well,Suntown,GCS,,536345.911,6909311.21,R007,,,
R008,Gas well,Suntown,Sump 3,Liquid Volume,536303.042,6909235.3,R008,6.75,,
R009,Gas well,Suntown,Sump 3,Liquid Volume,0,0,R009,6.75,,
R010,Gas well,Suntown,Sump 3,Liquid Volume,536343.672,6909353.37,R010,6.75,,
R011,Gas well,Suntown,Sump 3,Liquid Volume,536312.059,6909287.35,R011,6.75,,
R012,Gas well,Suntown,Sump 3,Liquid Volume,536344,6909274.16,R012,6.75,,
R013,Gas well,Suntown,GCS,,536321.17,6909323.32,R013,,,
R014,Gas well,Suntown,Sump 4,Liquid Volume,536318.011,6909364.97,R014,6.75,,
R015,Gas well,Suntown,Sump 4,Liquid Volume,536294.536,6909380.84,R015,6.75,,
R016,Gas well,Suntown,GCS,,536302.362,6909416.43,R016,,,
R017,Gas well,Suntown,GCS,,536339.15,6909395.56,R017,,,
R018,Gas well,Suntown,GCS,,536322.156,6909442.88,R018,,,
R019,Gas well,Suntown,Sump 4,Liquid Volume,536339.363,6909474.4,R019,6.75,,
R020,Gas well,Suntown,GCS,,536363.567,6909501.67,R020,,,
