Asset Details,,,,,Heat Map Detail,,,Asset Property Values,,
Unique Identifier,Name,Location,Section,Monitor Class,X,Y,Symbol,Pump Volume,Well depth (mBTOC),Pump Install Depth (mBTOC)
R017,Gas well,Suntown,GCS,Liquid Gauging,536339.15,6909395.56,R017,,15.0,
R018,Gas well,Suntown,GCS,Liquid Gauging,536322.156,6909442.88,R018,,12.5,
R019,Gas well,Suntown,Sump 4,Liquid Gauging,536339.363,6909474.4,R019,,13.5,11.5
R020,Gas well,Suntown,GCS,Liquid Gauging,536363.567,6909501.67,R020,,14.5,
RCCVD001,Gas well,Reedy Creek,Well Station D,Gas Collection System,,,D001,,,
RCCVE001,Gas well,Reedy Creek,Well Station E,Gas Collection System,,,E001,,,
RCGWD024,Gas well,Reedy Creek,Well Station D,Gas Extraction,,,D024,,,
RCGWD025,Gas well,Reedy Creek,Well Station D,Gas Extraction,,,D025,,,
RCGWD026,Gas well,Reedy Creek,Well Station D,Gas Extraction,,,D026,,,
RCGWD027,Gas well,Reedy Creek,Well Station D,Gas Extraction,,,D027,,,
RCGWD028,Gas well,Reedy Creek,Well Station D,Gas Extraction,,,D028,,,
RCGWD031,Gas well,Reedy Creek,Well Station D,Gas Extraction,,,D031,,,
RCGWE004,Gas well,Reedy Creek,Well Station E,Gas Extraction,,,E004,,,
RCGWE034,Gas well,Reedy Creek,Well Station E,Gas Extraction,,,E034,,,
RCGWE035,Gas well,Reedy Creek,Well Station E,Gas Extraction,,,E035,,,
RCGWE036,Gas well,Reedy Creek,Well Station E,Gas Extraction,,,E036,,,
RCGWE039,Gas well,Reedy Creek,Well Station E,Gas Extraction,,,E039,,,
RCGWEL43,Gas well,Reedy Creek,Well Station E,Gas Extraction,,,EL43,,,
RCGWEL44,Gas well,Reedy Creek,Well Station E,Gas Extraction,,,EL44,,,
S001,Gas well,Suntown,GCS,Liquid Gauging,536373.972,6909193.11,S001,,26.0,
S002,Gas well,Suntown,Sump 4,Liquid Gauging,536409.236,6909183.23,S002,,23.0,21.0
S003,Gas well,Suntown,GCS,Liquid Gauging,536415.96,6909146.9,S003,,20.5,
S004,Gas well,Suntown,GCS,Liquid Gauging,536448.621,6909171.81,S004,,21.5,19.5
S005,Gas well,Suntown,Sump 4,Liquid Gauging,536482.514,6909191.47,S005,,21.0,19.0
S006,Gas well,Suntown,Sump 4,Liquid Gauging,536508.021,6909219.03,S006,,20.5,18.5
S007,Gas well,Suntown,Sump 4,Liquid Gauging,536501.214,6909256.78,S007,,21.5,19.5
S008,Gas well,Suntown,Sump 4,Liquid Gauging,536537.79,6909242.85,S008,,19.0,17.0
S009,Gas well,Suntown,Sump 4,Liquid Gauging,536529.391,6909284.14,S009,,21.0,19.0
S010,Gas well,Suntown,GCS,Liquid Gauging,536568.98,6909269.39,S010,,18.5,
S011,Gas well,Suntown,GCS,Liquid Gauging,536529.795,6909326.1,S011,,17.0,
S012,Gas well,Suntown,GCS,Liquid Gauging,536567.54,6909311.01,S012,,17.0,
S013,Gas well,Suntown,GCS,Liquid Gauging,536576.571,6909344.26,S013,,16.5,
S014,Gas well,Suntown,GCS,Liquid Gauging,536582.456,6909376.52,S014,,14.5,
S015,Gas well,Suntown,GCS,Liquid Gauging,536561.892,6909384.6,S015,,15.5,
S016,Gas well,Suntown,GCS,Liquid Gauging,536589.893,6909412.48,S016,,15.0,
SNCVA001,Manifold,Suntown,Well Station A,Gas Collection System,,,A001,,,
SNCVA002,Manifold,Suntown,Well Station A,Gas Collection System,,,A002,,,
SNCVA003,Manifold,Suntown,Well Station A,Gas Collection System,,,A003,,,
SNCVA004,Manifold,Suntown,Well Station A,Gas Collection System,,,A004,,,
